service_date,route_id,trip_id,stop_id,arrival_time,departure_time,stop_sequence,direction_id,direction
2025-01-01,Red,trip_00000,stop_001,05:00:00,05:01:00,1,0,Outbound
2025-01-02,Orange,trip_00001,stop_002,06:01:00,06:02:00,2,1,Inbound
2025-01-03,Red,trip_00002,stop_003,07:02:00,07:03:00,3,0,Outbound
2025-01-04,Orange,trip_00003,stop_004,08:03:00,08:04:00,4,1,Inbound
2025-01-05,Red,trip_00004,stop_005,09:04:00,09:05:00,5,0,Outbound
2025-01-06,Orange,trip_00005,stop_006,10:05:00,10:06:00,6,1,Inbound
2025-01-07,Red,trip_00006,stop_007,11:06:00,11:07:00,7,0,Outbound
2025-01-08,Orange,trip_00007,stop_008,12:07:00,12:08:00,8,1,Inbound
2025-01-09,Red,trip_00008,stop_009,13:08:00,13:09:00,9,0,Outbound
2025-01-10,Orange,trip_00009,stop_010,14:09:00,14:10:00,10,1,Inbound
2025-01-11,Red,trip_00010,stop_011,15:10:00,15:11:00,11,0,Outbound
2025-01-12,Orange,trip_00011,stop_012,16:11:00,16:12:00,12,1,Inbound
2025-01-13,Red,trip_00012,stop_013,17:12:00,17:13:00,13,0,Outbound
2025-01-14,Orange,trip_00013,stop_014,18:13:00,18:14:00,14,1,Inbound
2025-01-15,Red,trip_00014,stop_015,19:14:00,19:15:00,15,0,Outbound
2025-01-16,Orange,trip_00015,stop_016,20:15:00,20:16:00,16,1,Inbound
2025-01-17,Red,trip_00016,stop_017,21:16:00,21:17:00,17,0,Outbound
2025-01-18,Orange,trip_00017,stop_018,22:17:00,22:18:00,18,1,Inbound
2025-01-19,Red,trip_00018,stop_019,05:18:00,05:19:00,19,0,Outbound
2025-01-20,Orange,trip_00019,stop_020,06:19:00,06:20:00,20,1,Inbound
2025-01-21,Red,trip_00020,stop_021,07:20:00,07:21:00,21,0,Outbound
2025-01-22,Orange,trip_00021,stop_022,08:21:00,08:22:00,22,1,Inbound
2025-01-23,Red,trip_00022,stop_023,09:22:00,09:23:00,23,0,Outbound
2025-01-24,Orange,trip_00023,stop_024,10:23:00,10:24:00,24,1,Inbound
2025-01-25,Red,trip_00024,stop_025,11:24:00,11:25:00,25,0,Outbound
2025-01-26,Orange,trip_00025,stop_026,12:25:00,12:26:00,1,1,Inbound
2025-01-27,Red,trip_00026,stop_027,13:26:00,13:27:00,2,0,Outbound
2025-01-28,Orange,trip_00027,stop_028,14:27:00,14:28:00,3,1,Inbound
2025-01-29,Red,trip_00028,stop_029,15:28:00,15:29:00,4,0,Outbound
2025-01-30,Orange,trip_00029,stop_030,16:29:00,16:30:00,5,1,Inbound
2025-01-31,Red,trip_00030,stop_001,17:30:00,17:31:00,6,0,Outbound
2025-01-01,Orange,trip_00031,stop_002,18:31:00,18:32:00,7,1,Inbound
2025-01-02,Red,trip_00032,stop_003,19:32:00,19:33:00,8,0,Outbound
2025-01-03,Orange,trip_00033,stop_004,20:33:00,20:34:00,9,1,Inbound
2025-01-04,Red,trip_00034,stop_005,21:34:00,21:35:00,10,0,Outbound
2025-01-05,Orange,trip_00035,stop_006,22:35:00,22:36:00,11,1,Inbound
2025-01-06,Red,trip_00036,stop_007,05:36:00,05:37:00,12,0,Outbound
2025-01-07,Orange,trip_00037,stop_008,06:37:00,06:38:00,13,1,Inbound
2025-01-08,Red,trip_00038,stop_009,07:38:00,07:39:00,14,0,Outbound
2025-01-09,Orange,trip_00039,stop_010,08:39:00,08:40:00,15,1,Inbound
2025-01-10,Red,trip_00040,stop_011,09:40:00,09:41:00,16,0,Outbound
2025-01-11,Orange,trip_00041,stop_012,10:41:00,10:42:00,17,1,Inbound
2025-01-12,Red,trip_00042,stop_013,11:42:00,11:43:00,18,0,Outbound
2025-01-13,Orange,trip_00043,stop_014,12:43:00,12:44:00,19,1,Inbound
2025-01-14,Red,trip_00044,stop_015,13:44:00,13:45:00,20,0,Outbound
2025-01-15,Orange,trip_00045,stop_016,14:45:00,14:46:00,21,1,Inbound
2025-01-16,Red,trip_00046,stop_017,15:46:00,15:47:00,22,0,Outbound
2025-01-17,Orange,trip_00047,stop_018,16:47:00,16:48:00,23,1,Inbound
2025-01-18,Red,trip_00048,stop_019,17:48:00,17:49:00,24,0,Outbound
2025-01-19,Orange,trip_00049,stop_020,18:49:00,18:50:00,25,1,Inbound
2025-01-20,Red,trip_00050,stop_021,19:50:00,19:51:00,1,0,Outbound
2025-01-21,Orange,trip_00051,stop_022,20:51:00,20:52:00,2,1,Inbound
2025-01-22,Red,trip_00052,stop_023,21:52:00,21:53:00,3,0,Outbound
2025-01-23,Orange,trip_00053,stop_024,22:53:00,22:54:00,4,1,Inbound
2025-01-24,Red,trip_00054,stop_025,05:54:00,05:55:00,5,0,Outbound
2025-01-25,Orange,trip_00055,stop_026,06:55:00,06:56:00,6,1,Inbound
2025-01-26,Red,trip_00056,stop_027,07:56:00,07:57:00,7,0,Outbound
2025-01-27,Orange,trip_00057,stop_028,08:57:00,08:58:00,8,1,Inbound
2025-01-28,Red,trip_00058,stop_029,09:58:00,09:59:00,9,0,Outbound
2025-01-29,Orange,trip_00059,stop_030,10:59:00,10:00:00,10,1,Inbound
2025-01-30,Red,trip_00060,stop_001,11:00:00,11:01:00,11,0,Outbound
2025-01-31,Orange,trip_00061,stop_002,12:01:00,12:02:00,12,1,Inbound
2025-01-01,Red,trip_00062,stop_003,13:02:00,13:03:00,13,0,Outbound
2025-01-02,Orange,trip_00063,stop_004,14:03:00,14:04:00,14,1,Inbound
2025-01-03,Red,trip_00064,stop_005,15:04:00,15:05:00,15,0,Outbound
2025-01-04,Orange,trip_00065,stop_006,16:05:00,16:06:00,16,1,Inbound
2025-01-05,Red,trip_00066,stop_007,17:06:00,17:07:00,17,0,Outbound
2025-01-06,Orange,trip_00067,stop_008,18:07:00,18:08:00,18,1,Inbound
2025-01-07,Red,trip_00068,stop_009,19:08:00,19:09:00,19,0,Outbound
2025-01-08,Orange,trip_00069,stop_010,20:09:00,20:10:00,20,1,Inbound
2025-01-09,Red,trip_00070,stop_011,21:10:00,21:11:00,21,0,Outbound
2025-01-10,Orange,trip_00071,stop_012,22:11:00,22:12:00,22,1,Inbound
2025-01-11,Red,trip_00072,stop_013,05:12:00,05:13:00,23,0,Outbound
2025-01-12,Orange,trip_00073,stop_014,06:13:00,06:14:00,24,1,Inbound
2025-01-13,Red,trip_00074,stop_015,07:14:00,07:15:00,25,0,Outbound
2025-01-14,Orange,trip_00075,stop_016,08:15:00,08:16:00,1,1,Inbound
2025-01-15,Red,trip_00076,stop_017,09:16:00,09:17:00,2,0,Outbound
2025-01-16,Orange,trip_00077,stop_018,10:17:00,10:18:00,3,1,Inbound
2025-01-17,Red,trip_00078,stop_019,11:18:00,11:19:00,4,0,Outbound
2025-01-18,Orange,trip_00079,stop_020,12:19:00,12:20:00,5,1,Inbound
2025-01-19,Red,trip_00080,stop_021,13:20:00,13:21:00,6,0,Outbound
2025-01-20,Orange,trip_00081,stop_022,14:21:00,14:22:00,7,1,Inbound
2025-01-21,Red,trip_00082,stop_023,15:22:00,15:23:00,8,0,Outbound
2025-01-22,Orange,trip_00083,stop_024,16:23:00,16:24:00,9,1,Inbound
