service_date,route_id,stop_id,trip_id,event_type,event_time_sec,schedule_deviation_sec,direction,direction_id
2025-01-01,Red,stop_001,trip_00000,ARR,18000,-120,Outbound,0
2025-01-02,Orange,stop_002,trip_00001,DEP,18180,-119,Inbound,1
2025-01-03,Red,stop_003,trip_00002,ARR,18360,-118,Outbound,0
2025-01-04,Orange,stop_004,trip_00003,DEP,18540,-117,Inbound,1
2025-01-05,Red,stop_005,trip_00004,ARR,18720,-116,Outbound,0
2025-01-06,Orange,stop_006,trip_00005,DEP,18900,-115,Inbound,1
2025-01-07,Red,stop_007,trip_00006,ARR,19080,-114,Outbound,0
2025-01-08,Orange,stop_008,trip_00007,DEP,19260,-113,Inbound,1
2025-01-09,Red,stop_009,trip_00008,ARR,19440,-112,Outbound,0
2025-01-10,Orange,stop_010,trip_00009,DEP,19620,-111,Inbound,1
2025-01-11,Red,stop_011,trip_00010,ARR,19800,-110,Outbound,0
2025-01-12,Orange,stop_012,trip_00011,DEP,19980,-109,Inbound,1
2025-01-13,Red,stop_013,trip_00012,ARR,20160,-108,Outbound,0
2025-01-14,Orange,stop_014,trip_00013,DEP,20340,-107,Inbound,1
2025-01-15,Red,stop_015,trip_00014,ARR,20520,-106,Outbound,0
2025-01-16,Orange,stop_016,trip_00015,DEP,20700,-105,Inbound,1
2025-01-17,Red,stop_017,trip_00016,ARR,20880,-104,Outbound,0
2025-01-18,Orange,stop_018,trip_00017,DEP,21060,-103,Inbound,1
2025-01-19,Red,stop_019,trip_00018,ARR,21240,-102,Outbound,0
2025-01-20,Orange,stop_020,trip_00019,DEP,21420,-101,Inbound,1
2025-01-21,Red,stop_021,trip_00020,ARR,18000,-100,Outbound,0
2025-01-22,Orange,stop_022,trip_00021,DEP,18180,-99,Inbound,1
2025-01-23,Red,stop_023,trip_00022,ARR,18360,-98,Outbound,0
2025-01-24,Orange,stop_024,trip_00023,DEP,18540,-97,Inbound,1
2025-01-25,Red,stop_025,trip_00024,ARR,18720,-96,Outbound,0
2025-01-26,Orange,stop_026,trip_00025,DEP,18900,-95,Inbound,1
2025-01-27,Red,stop_027,trip_00026,ARR,19080,-94,Outbound,0
2025-01-28,Orange,stop_028,trip_00027,DEP,19260,-93,Inbound,1
2025-01-29,Red,stop_029,trip_00028,ARR,19440,-92,Outbound,0
2025-01-30,Orange,stop_030,trip_00029,DEP,19620,-91,Inbound,1
2025-01-31,Red,stop_031,trip_00030,ARR,19800,-90,Outbound,0
2025-01-01,Orange,stop_032,trip_00031,DEP,19980,-89,Inbound,1
2025-01-02,Red,stop_033,trip_00032,ARR,20160,-88,Outbound,0
2025-01-03,Orange,stop_034,trip_00033,DEP,20340,-87,Inbound,1
2025-01-04,Red,stop_035,trip_00034,ARR,20520,-86,Outbound,0
2025-01-05,Orange,stop_036,trip_00035,DEP,20700,-85,Inbound,1
2025-01-06,Red,stop_037,trip_00036,ARR,20880,-84,Outbound,0
2025-01-07,Orange,stop_038,trip_00037,DEP,21060,-83,Inbound,1
2025-01-08,Red,stop_039,trip_00038,ARR,21240,-82,Outbound,0
2025-01-09,Orange,stop_040,trip_00039,DEP,21420,-81,Inbound,1
2025-01-10,Red,stop_001,trip_00040,ARR,18000,-80,Outbound,0
2025-01-11,Orange,stop_002,trip_00041,DEP,18180,-79,Inbound,1
2025-01-12,Red,stop_003,trip_00042,ARR,18360,-78,Outbound,0
2025-01-13,Orange,stop_004,trip_00043,DEP,18540,-77,Inbound,1
2025-01-14,Red,stop_005,trip_00044,ARR,18720,-76,Outbound,0
2025-01-15,Orange,stop_006,trip_00045,DEP,18900,-75,Inbound,1
2025-01-16,Red,stop_007,trip_00046,ARR,19080,-74,Outbound,0
2025-01-17,Orange,stop_008,trip_00047,DEP,19260,-73,Inbound,1
2025-01-18,Red,stop_009,trip_00048,ARR,19440,-72,Outbound,0
2025-01-19,Orange,stop_010,trip_00049,DEP,19620,-71,Inbound,1
2025-01-20,Red,stop_011,trip_00050,ARR,19800,-70,Outbound,0
2025-01-21,Orange,stop_012,trip_00051,DEP,19980,-69,Inbound,1
2025-01-22,Red,stop_013,trip_00052,ARR,20160,-68,Outbound,0
2025-01-23,Orange,stop_014,trip_00053,DEP,20340,-67,Inbound,1
2025-01-24,Red,stop_015,trip_00054,ARR,20520,-66,Outbound,0
2025-01-25,Orange,stop_016,trip_00055,DEP,20700,-65,Inbound,1
2025-01-26,Red,stop_017,trip_00056,ARR,20880,-64,Outbound,0
2025-01-27,Orange,stop_018,trip_00057,DEP,21060,-63,Inbound,1
2025-01-28,Red,stop_019,trip_00058,ARR,21240,-62,Outbound,0
2025-01-29,Orange,stop_020,trip_00059,DEP,21420,-61,Inbound,1
2025-01-30,Red,stop_021,trip_00060,ARR,18000,-60,Outbound,0
2025-01-31,Orange,stop_022,trip_00061,DEP,18180,-59,Inbound,1
2025-01-01,Red,stop_023,trip_00062,ARR,18360,-58,Outbound,0
2025-01-02,Orange,stop_024,trip_00063,DEP,18540,-57,Inbound,1
2025-01-03,Red,stop_025,trip_00064,ARR,18720,-56,Outbound,0
2025-01-04,Orange,stop_026,trip_00065,DEP,18900,-55,Inbound,1
2025-01-05,Red,stop_027,trip_00066,ARR,19080,-54,Outbound,0
2025-01-06,Orange,stop_028,trip_00067,DEP,19260,-53,Inbound,1
2025-01-07,Red,stop_029,trip_00068,ARR,19440,-52,Outbound,0
2025-01-08,Orange,stop_030,trip_00069,DEP,19620,-51,Inbound,1
2025-01-09,Red,stop_031,trip_00070,ARR,19800,-50,Outbound,0
2025-01-10,Orange,stop_032,trip_00071,DEP,19980,-49,Inbound,1
2025-01-11,Red,stop_033,trip_00072,ARR,20160,-48,Outbound,0
2025-01-12,Orange,stop_034,trip_00073,DEP,20340,-47,Inbound,1
2025-01-13,Red,stop_035,trip_00074,ARR,20520,-46,Outbound,0
2025-01-14,Orange,stop_036,trip_00075,DEP,20700,-45,Inbound,1
2025-01-15,Red,stop_037,trip_00076,ARR,20880,-44,Outbound,0
2025-01-16,Orange,stop_038,trip_00077,DEP,21060,-43,Inbound,1
2025-01-17,Red,stop_039,trip_00078,ARR,21240,-42,Outbound,0
2025-01-18,Orange,stop_040,trip_00079,DEP,21420,-41,Inbound,1
2025-01-19,Red,stop_001,trip_00080,ARR,18000,-40,Outbound,0
2025-01-20,Orange,stop_002,trip_00081,DEP,18180,-39,Inbound,1
2025-01-21,Red,stop_003,trip_00082,ARR,18360,-38,Outbound,0
2025-01-22,Orange,stop_004,trip_00083,DEP,18540,-37,Inbound,1
2025-01-23,Red,stop_005,trip_00084,ARR,18720,-36,Outbound,0
2025-01-24,Orange,stop_006,trip_00085,DEP,18900,-35,Inbound,1
2025-01-25,Red,stop_007,trip_00086,ARR,19080,-34,Outbound,0
2025-01-26,Orange,stop_008,trip_00087,DEP,19260,-33,Inbound,1
2025-01-27,Red,stop_009,trip_00088,ARR,19440,-32,Outbound,0
2025-01-28,Orange,stop_010,trip_00089,DEP,19620,-31,Inbound,1
2025-01-29,Red,stop_011,trip_00090,ARR,19800,-30,Outbound,0
2025-01-30,Orange,stop_012,trip_00091,DEP,19980,-29,Inbound,1
2025-01-31,Red,stop_013,trip_00092,ARR,20160,-28,Outbound,0
2025-01-01,Orange,stop_014,trip_00093,DEP,20340,-27,Inbound,1
2025-01-02,Red,stop_015,trip_00094,ARR,20520,-26,Outbound,0
2025-01-03,Orange,stop_016,trip_00095,DEP,20700,-25,Inbound,1
2025-01-04,Red,stop_017,trip_00096,ARR,20880,-24,Outbound,0
2025-01-05,Orange,stop_018,trip_00097,DEP,21060,-23,Inbound,1
2025-01-06,Red,stop_019,trip_00098,ARR,21240,-22,Outbound,0
2025-01-07,Orange,stop_020,trip_00099,DEP,21420,-21,Inbound,1
2025-01-08,Red,stop_021,trip_00100,ARR,18000,-20,Outbound,0
2025-01-09,Orange,stop_022,trip_00101,DEP,18180,-19,Inbound,1
2025-01-10,Red,stop_023,trip_00102,ARR,18360,-18,Outbound,0
2025-01-11,Orange,stop_024,trip_00103,DEP,18540,-17,Inbound,1
2025-01-12,Red,stop_025,trip_00104,ARR,18720,-16,Outbound,0
2025-01-13,Orange,stop_026,trip_00105,DEP,18900,-15,Inbound,1
2025-01-14,Red,stop_027,trip_00106,ARR,19080,-14,Outbound,0
2025-01-15,Orange,stop_028,trip_00107,DEP,19260,-13,Inbound,1
2025-01-16,Red,stop_029,trip_00108,ARR,19440,-12,Outbound,0
2025-01-17,Orange,stop_030,trip_00109,DEP,19620,-11,Inbound,1
2025-01-18,Red,stop_031,trip_00110,ARR,19800,-10,Outbound,0
2025-01-19,Orange,stop_032,trip_00111,DEP,19980,-9,Inbound,1
2025-01-20,Red,stop_033,trip_00112,ARR,20160,-8,Outbound,0
2025-01-21,Orange,stop_034,trip_00113,DEP,20340,-7,Inbound,1
2025-01-22,Red,stop_035,trip_00114,ARR,20520,-6,Outbound,0
