service_date,route_id,stop_id,trip_id,prev_trip_id,headway_trunk_sec,headway_branch_sec,benchmark_headway_sec,direction,direction_id
2025-01-01,Red,stop_001,trip_00000,trip_-0001,240,,300,Outbound,0
2025-01-02,Orange,stop_002,trip_00001,trip_00000,270,,300,Inbound,1
2025-01-03,Red,stop_003,trip_00002,trip_00001,300,,300,Outbound,0
2025-01-04,Orange,stop_004,trip_00003,trip_00002,330,,300,Inbound,1
2025-01-05,Red,stop_005,trip_00004,trip_00003,360,,300,Outbound,0
2025-01-06,Orange,stop_006,trip_00005,trip_00004,390,,300,Inbound,1
2025-01-07,Red,stop_007,trip_00006,trip_00005,420,,300,Outbound,0
2025-01-08,Orange,stop_008,trip_00007,trip_00006,450,,300,Inbound,1
2025-01-09,Red,stop_009,trip_00008,trip_00007,480,,300,Outbound,0
2025-01-10,Orange,stop_010,trip_00009,trip_00008,510,,300,Inbound,1
2025-01-11,Red,stop_011,trip_00010,trip_00009,540,,300,Outbound,0
2025-01-12,Orange,stop_012,trip_00011,trip_00010,570,,300,Inbound,1
2025-01-13,Red,stop_013,trip_00012,trip_00011,240,,300,Outbound,0
2025-01-14,Orange,stop_014,trip_00013,trip_00012,270,,300,Inbound,1
2025-01-15,Red,stop_015,trip_00014,trip_00013,300,,300,Outbound,0
2025-01-16,Orange,stop_016,trip_00015,trip_00014,330,,300,Inbound,1
2025-01-17,Red,stop_017,trip_00016,trip_00015,360,,300,Outbound,0
2025-01-18,Orange,stop_018,trip_00017,trip_00016,390,,300,Inbound,1
2025-01-19,Red,stop_019,trip_00018,trip_00017,420,,300,Outbound,0
2025-01-20,Orange,stop_020,trip_00019,trip_00018,450,,300,Inbound,1
2025-01-21,Red,stop_021,trip_00020,trip_00019,480,,300,Outbound,0
2025-01-22,Orange,stop_022,trip_00021,trip_00020,510,,300,Inbound,1
2025-01-23,Red,stop_023,trip_00022,trip_00021,540,,300,Outbound,0
2025-01-24,Orange,stop_024,trip_00023,trip_00022,570,,300,Inbound,1
2025-01-25,Red,stop_025,trip_00024,trip_00023,240,,300,Outbound,0
2025-01-26,Orange,stop_026,trip_00025,trip_00024,270,,300,Inbound,1
2025-01-27,Red,stop_027,trip_00026,trip_00025,300,,300,Outbound,0
2025-01-28,Orange,stop_028,trip_00027,trip_00026,330,,300,Inbound,1
2025-01-29,Red,stop_029,trip_00028,trip_00027,360,,300,Outbound,0
2025-01-30,Orange,stop_030,trip_00029,trip_00028,390,,300,Inbound,1
2025-01-31,Red,stop_031,trip_00030,trip_00029,420,,300,Outbound,0
2025-01-01,Orange,stop_032,trip_00031,trip_00030,450,,300,Inbound,1
2025-01-02,Red,stop_033,trip_00032,trip_00031,480,,300,Outbound,0
2025-01-03,Orange,stop_034,trip_00033,trip_00032,510,,300,Inbound,1
2025-01-04,Red,stop_035,trip_00034,trip_00033,540,,300,Outbound,0
2025-01-05,Orange,stop_001,trip_00035,trip_00034,570,,300,Inbound,1
2025-01-06,Red,stop_002,trip_00036,trip_00035,240,,300,Outbound,0
2025-01-07,Orange,stop_003,trip_00037,trip_00036,270,,300,Inbound,1
