season,route_id,stop_id,direction_id,time_period,scheduled_headway_sec,headway_samples,scheduled_travel_time_sec,travel_time_samples,stop_name
Fall 2018,Orange,stop_002,1,AM Peak,1800.0,28,,,stop_002
Fall 2018,Orange,stop_002,1,Evening,1800.0,28,,,stop_002
Fall 2018,Orange,stop_002,1,Midday,10800.0,56,,,stop_002
Fall 2018,Orange,stop_002,1,PM Peak,19800.0,28,,,stop_002
Fall 2018,Orange,stop_004,1,AM Peak,1800.0,28,,,stop_004
Fall 2018,Orange,stop_004,1,Evening,10800.0,56,,,stop_004
Fall 2018,Orange,stop_004,1,Midday,10800.0,56,,,stop_004
Fall 2018,Orange,stop_006,1,Evening,10800.0,56,,,stop_006
Fall 2018,Orange,stop_006,1,Midday,1800.0,28,,,stop_006
Fall 2018,Orange,stop_006,1,PM Peak,10800.0,56,,,stop_006
Fall 2018,Orange,stop_008,1,AM Peak,1800.0,28,,,stop_008
Fall 2018,Orange,stop_008,1,Evening,1800.0,28,,,stop_008
Fall 2018,Orange,stop_008,1,Midday,10800.0,56,,,stop_008
Fall 2018,Orange,stop_008,1,PM Peak,19800.0,28,,,stop_008
Fall 2018,Orange,stop_010,1,AM Peak,1800.0,28,,,stop_010
Fall 2018,Orange,stop_010,1,Evening,10800.0,56,,,stop_010
Fall 2018,Orange,stop_010,1,Midday,10800.0,56,,,stop_010
Fall 2018,Orange,stop_012,1,Evening,10800.0,56,,,stop_012
Fall 2018,Orange,stop_012,1,Midday,1800.0,28,,,stop_012
Fall 2018,Orange,stop_012,1,PM Peak,10800.0,56,,,stop_012
Fall 2018,Orange,stop_014,1,AM Peak,1800.0,28,,,stop_014
Fall 2018,Orange,stop_014,1,Evening,1800.0,28,,,stop_014
Fall 2018,Orange,stop_014,1,Midday,10800.0,56,,,stop_014
Fall 2018,Orange,stop_014,1,PM Peak,19800.0,28,,,stop_014
Fall 2018,Orange,stop_016,1,AM Peak,1800.0,28,,,stop_016
Fall 2018,Orange,stop_016,1,Evening,10800.0,56,,,stop_016
Fall 2018,Orange,stop_016,1,Midday,10800.0,56,,,stop_016
Fall 2018,Orange,stop_018,1,Evening,10800.0,56,,,stop_018
