stop_id,stop_name,route_id,line_color,latitude,longitude,stop_sequence,is_transfer_station,coordinate_source
stop_002,stop_002,Orange,#ED8B00,42.3675,-71.075,12.0,False,synthetic_from_stop_sequence
stop_004,stop_004,Orange,#ED8B00,42.3825,-71.087,14.0,False,synthetic_from_stop_sequence
stop_006,stop_006,Orange,#ED8B00,42.36,-71.069,11.0,False,synthetic_from_stop_sequence
stop_008,stop_008,Orange,#ED8B00,42.375,-71.081,13.0,False,synthetic_from_stop_sequence
stop_010,stop_010,Orange,#ED8B00,42.39,-71.093,15.0,False,synthetic_from_stop_sequence
stop_012,stop_012,Orange,#ED8B00,42.37,-71.077,12.0,False,synthetic_from_stop_sequence
stop_014,stop_014,Orange,#ED8B00,42.385,-71.089,14.0,False,synthetic_from_stop_sequence
stop_016,stop_016,Orange,#ED8B00,42.3625,-71.071,11.0,False,synthetic_from_stop_sequence
stop_018,stop_018,Orange,#ED8B00,42.3775,-71.083,13.0,False,synthetic_from_stop_sequence
stop_020,stop_020,Orange,#ED8B00,42.3925,-71.095,15.0,False,synthetic_from_stop_sequence
stop_022,stop_022,Orange,#ED8B00,42.3725,-71.07900000000001,12.0,False,synthetic_from_stop_sequence
stop_024,stop_024,Orange,#ED8B00,42.3875,-71.09100000000001,14.0,False,synthetic_from_stop_sequence
stop_026,stop_026,Orange,#ED8B00,42.365,-71.07300000000001,11.0,False,synthetic_from_stop_sequence
stop_028,stop_028,Orange,#ED8B00,42.38,-71.08500000000001,13.0,False,synthetic_from_stop_sequence
stop_030,stop_030,Orange,#ED8B00,42.394999999999996,-71.09700000000001,15.0,False,synthetic_from_stop_sequence
stop_001,stop_001,Red,#DA291C,42.352,-71.062,11.0,False,synthetic_from_stop_sequence
stop_003,stop_003,Red,#DA291C,42.367,-71.074,13.0,False,synthetic_from_stop_sequence
stop_005,stop_005,Red,#DA291C,42.382,-71.086,15.0,False,synthetic_from_stop_sequence
stop_007,stop_007,Red,#DA291C,42.3595,-71.068,12.0,False,synthetic_from_stop_sequence
stop_009,stop_009,Red,#DA291C,42.3745,-71.08,14.0,False,synthetic_from_stop_sequence
stop_011,stop_011,Red,#DA291C,42.354499999999994,-71.064,11.0,False,synthetic_from_stop_sequence
stop_013,stop_013,Red,#DA291C,42.369499999999995,-71.076,13.0,False,synthetic_from_stop_sequence
stop_015,stop_015,Red,#DA291C,42.384499999999996,-71.088,15.0,False,synthetic_from_stop_sequence
stop_017,stop_017,Red,#DA291C,42.361999999999995,-71.07,12.0,False,synthetic_from_stop_sequence
stop_019,stop_019,Red,#DA291C,42.376999999999995,-71.082,14.0,False,synthetic_from_stop_sequence
stop_021,stop_021,Red,#DA291C,42.357,-71.066,11.0,False,synthetic_from_stop_sequence
stop_023,stop_023,Red,#DA291C,42.372,-71.078,13.0,False,synthetic_from_stop_sequence
stop_025,stop_025,Red,#DA291C,42.38699999999999,-71.09,15.0,False,synthetic_from_stop_sequence
stop_027,stop_027,Red,#DA291C,42.3645,-71.072,12.0,False,synthetic_from_stop_sequence
stop_029,stop_029,Red,#DA291C,42.3795,-71.084,14.0,False,synthetic_from_stop_sequence
